market_code,ticker,company_name,reason
jp_nikkei225,3407,Asahi Kasei,"Seed named it Asahi Group Holdings (ticker 2502); wrong company"
jp_nikkei225,6908,Iriso Electronics,"Seed named it Iris Ohyama (unlisted); wrong company"
jp_nikkei225,6976,Taiyo Yuden,"Seed named it Canon Electronics (ticker 7739); wrong company"
jp_nikkei225,8005,Scroll Corporation,"Seed named it Showa Shell Sekiyu (delisted 2019 into Idemitsu); wrong company"
jp_nikkei225,8804,Tokyo Tatemono,"Seed named it City Development (a Singapore developer); wrong company"
jp_nikkei225,8830,Sumitomo Realty & Development,"Seed named it SUMCO (ticker 3436); wrong company"
jp_nikkei225,9005,Tokyu Corp,"Seed named it Keio Corp (ticker 9008); wrong company"
jp_nikkei225,9008,Keio Corp,"Seed named it Keisei Electric Railway (ticker 9009); wrong company"
jp_nikkei225,9009,Keisei Electric Railway,"Seed named it Keihan Holdings (ticker 9045, not a Nikkei 225 constituent); wrong company"
jp_nikkei225,9101,Nippon Yusen,"Seed named it Mitsui O.S.K. Lines (ticker 9104); wrong company"
jp_nikkei225,9412,SKY Perfect JSAT,"Seed named it Skylark Holdings (ticker 3197); wrong company"
ch_smi,NOVN,Novartis,"Seed named it Novartis International AG; the issuer's actual name is Novartis AG, standardized to trade name"
ch_smi,ROP,Roche,"Seed used the legal name Roche Holding AG; standardized to trade name"
ch_smi,NESN,Nestlé,"Seed used the legal-register form Nestlé SA; standardized to trade name"
ch_smi,ABBN,ABB,"Seed used the legal-register form ABB Ltd; standardized to trade name"
ch_smi,UBSG,UBS,"Seed used the legal-register form UBS Group AG; standardized to trade name"
ch_smi,CFR,Richemont,"Seed used the legal-register form Compagnie Financière Richemont SA; standardized to trade name"
ch_smi,ZURN,Zurich Insurance Group,"Seed used the legal-register form Zurich Insurance Group AG; standardized to trade name"
ch_smi,HOLN,Holcim,"Seed used the legal-register form Holcim Limited; standardized to trade name"
ch_smi,SREN,Swiss Re,"Seed named it Swiss Reinsurance Company Ltd; the issuer's actual name is Swiss Re AG, standardized to trade name"
ch_smi,LONN,Lonza,"Seed used the legal-register form Lonza Group AG; standardized to trade name"
ch_smi,SCMN,Swisscom,"Seed used the legal-register form Swisscom AG; standardized to trade name"
ch_smi,GIVN,Givaudan,"Seed used the legal-register form Givaudan SA; standardized to trade name"
ch_smi,ALC,Alcon,"Seed used the legal-register form Alcon Inc; standardized to trade name"
ch_smi,SIKA,Sika,"Seed used the legal-register form Sika AG; standardized to trade name"
ch_smi,AMRZ,Amrize,"Seed used the legal-register form Amrize AG; standardized to trade name"
ch_smi,SLHN,Swiss Life,"Seed used the legal-register form Swiss Life Holding AG; standardized to trade name"
ch_smi,GEBN,Geberit,"Seed used the legal-register form Geberit AG; standardized to trade name"
ch_smi,PGHN,Partners Group,"Seed used the legal-register form Partners Group Holding AG; standardized to trade name"
ch_smi,LOGN,Logitech,"Seed used the legal-register form Logitech International SA; standardized to trade name"
