ticker,company_name
7203,Toyota Motor
6758,Sony Group
9984,SoftBank Group
6861,Keyence
8306,MUFG
9432,NTT
6501,Hitachi
8035,Tokyo Electron
4063,Shin-Etsu Chemical
6902,Denso
6954,Fanuc
7741,HOYA
6367,Daikin Industries
4519,Chugai Pharmaceutical
6098,Recruit Holdings
7974,Nintendo
8058,Mitsubishi Corp
9433,KDDI
4568,Daiichi Sankyo
3382,Seven & i Holdings
7267,Honda Motor
6503,Mitsubishi Electric
8802,Mitsubishi Estate
8411,Mizuho Financial
8766,Tokio Marine Holdings
2914,Japan Tobacco
6981,Murata Manufacturing
6273,SMC
4901,Fujifilm Holdings
7751,Canon
8031,Mitsui & Co
9020,East Japan Railway
9022,Central Japan Railway
8801,Mitsui Fudosan
4502,Takeda Pharmaceutical
8001,Itochu
8002,Marubeni
3407,Asahi Group Holdings
2502,Asahi Group Holdings
2801,Kikkoman
2802,Ajinomoto
5108,Bridgestone
5401,Nippon Steel
5713,Sumitomo Metal Mining
6301,Komatsu
6326,Kubota
6594,Nidec
6645,Omron
6701,NEC
6702,Fujitsu
6723,Renesas Electronics
6752,Panasonic Holdings
6762,TDK
6770,Alps Alpine
6841,Yokogawa Electric
6857,Advantest
6908,Iris Ohyama
6971,Kyocera
6976,Canon Electronics
6988,Nitto Denko
7003,Mitsui E&S Holdings
7011,Mitsubishi Heavy Industries
7012,Kawasaki Heavy Industries
7013,IHI
7201,Nissan Motor
7202,Isuzu Motors
7205,Hino Motors
7261,Mazda Motor
7269,Suzuki Motor
7270,Subaru
7272,Yamaha Motor
7731,Nikon
7733,Olympus
7735,SCREEN Holdings
7752,Ricoh
7832,BANDAI NAMCO Holdings
7911,Toppan Holdings
7912,Dai Nippon Printing
7951,Yamaha
8005,Showa Shell Sekiyu
8015,Toyota Tsusho
8233,Takashimaya
8267,Aeon
8308,Resona Holdings
8309,Sumitomo Mitsui Trust
8316,Sumitomo Mitsui Financial
8591,ORIX
8601,Daiwa Securities
8604,Nomura Holdings
8630,Sompo Holdings
8725,MS&AD Insurance
8750,Dai-ichi Life Holdings
8795,T&D Holdings
8804,City Development
8830,SUMCO
9001,Tobu Railway
9005,Keio Corp
9007,Odakyu Electric Railway
9008,Keisei Electric Railway
9009,Keihan Holdings
9021,West Japan Railway
9101,Mitsui O.S.K. Lines
9104,Mitsui OSK Lines
9107,Kawasaki Kisen
9201,Japan Airlines
9202,ANA Holdings
9301,Mitsubishi Logistics
9412,Skylark Holdings
9531,Tokyo Gas
9532,Osaka Gas
9602,Toho
9735,Secom
9766,Konami Group
9843,Nitori Holdings
9962,MISUMI Group
9983,Fast Retailing
